Processed 55163 csets from 2833 developers
373 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
Mark Brown                1026 (1.9%)
Axel Lin                   723 (1.3%)
K. Y. Srinivasan           626 (1.1%)
Al Viro                    607 (1.1%)
Takashi Iwai               517 (0.9%)
Mauro Carvalho Chehab      507 (0.9%)
Russell King               491 (0.9%)
Johannes Berg              469 (0.9%)
Ben Skeggs                 405 (0.7%)
Jonathan Cameron           396 (0.7%)
Larry Finger               394 (0.7%)
David S. Miller            378 (0.7%)
Joe Perches                352 (0.6%)
Dan Carpenter              348 (0.6%)
Arend van Spriel           348 (0.6%)
Paul Gortmaker             338 (0.6%)
Roland Vossen              337 (0.6%)
Eric Dumazet               332 (0.6%)
Christoph Hellwig          307 (0.6%)
Tomi Valkeinen             291 (0.5%)
Kuninori Morimoto          282 (0.5%)
Tejun Heo                  268 (0.5%)
Dan Williams               253 (0.5%)
Alex Deucher               247 (0.4%)
Rafał Miłecki            245 (0.4%)
Alan Cox                   228 (0.4%)
Guennadi Liakhovetski      227 (0.4%)
Stanislaw Gruszka          227 (0.4%)
Steven Rostedt             226 (0.4%)
Eliad Peller               226 (0.4%)
Stephen Warren             224 (0.4%)
Emmanuel Grumbach          222 (0.4%)
Guenter Roeck              220 (0.4%)
Artem Bityutskiy           220 (0.4%)
NeilBrown                  216 (0.4%)
Laurent Pinchart           214 (0.4%)
Felipe Balbi               211 (0.4%)
Wey-Yi Guy                 208 (0.4%)
Linus Walleij              203 (0.4%)
Ben Hutchings              201 (0.4%)
Peter Zijlstra             195 (0.4%)
Konrad Rzeszutek Wilk      193 (0.3%)
Rafael J. Wysocki          192 (0.3%)
Felix Fietkau              192 (0.3%)
Paul E. McKenney           191 (0.3%)
Johan Hedberg              188 (0.3%)
Jesper Juhl                185 (0.3%)
Franky (Zhenhui) Lin       185 (0.3%)
Lars-Peter Clausen         184 (0.3%)
Vasanthakumar Thiagarajan  184 (0.3%)
Linus Torvalds             183 (0.3%)
Nicolas Pitre              178 (0.3%)
Julia Lawall               178 (0.3%)
Peter Ujfalusi             174 (0.3%)
Shawn Guo                  173 (0.3%)
Magnus Damm                166 (0.3%)
Trond Myklebust            165 (0.3%)
Hans Verkuil               165 (0.3%)
Jiri Slaby                 165 (0.3%)
Randy Dunlap               162 (0.3%)
Kalle Valo                 158 (0.3%)
Greg Ungerer               157 (0.3%)
Aaro Koskinen              150 (0.3%)
Josef Bacik                149 (0.3%)
Gustavo F. Padovan         148 (0.3%)
Rajkumar Manoharan         148 (0.3%)
Matt Carlson               146 (0.3%)
Benjamin Herrenschmidt     145 (0.3%)
J. Bruce Fields            144 (0.3%)
Jamie Iles                 141 (0.3%)
Dmitry Eremin-Solenikov    141 (0.3%)
Sebastian Andrzej Siewior  139 (0.3%)
Jean-Christophe PLAGNIOL-VILLARD  137 (0.2%)
Sage Weil                  136 (0.2%)
Fabio Estevam              136 (0.2%)
Will Deacon                135 (0.2%)
Thomas Gleixner            135 (0.2%)
Joerg Roedel               135 (0.2%)
Alexander Duyck            135 (0.2%)
Arnaldo Carvalho de Melo   129 (0.2%)
Stephen Hemminger          128 (0.2%)
Jeff Layton                126 (0.2%)
Mike Frysinger             126 (0.2%)
Nicholas Bellinger         125 (0.2%)
Geert Uytterhoeven         124 (0.2%)
Jean Delvare               124 (0.2%)
Sylwester Nawrocki         123 (0.2%)
Anton Blanchard            122 (0.2%)
Jesse Barnes               122 (0.2%)
Masanari Iida              118 (0.2%)
Mark Einon                 117 (0.2%)
Allan Stephens             116 (0.2%)
WANG Cong                  114 (0.2%)
Kevin Hilman               114 (0.2%)
Sujith Manoharan           114 (0.2%)
Rob Herring                111 (0.2%)
Daniel Vetter              110 (0.2%)
Avi Kivity                 110 (0.2%)
Stanislav Kinsbursky       109 (0.2%)
Michał Mirosław          108 (0.2%)
Mohammed Shafi Shajakhan   108 (0.2%)
David Howells              107 (0.2%)
Namhyung Kim               107 (0.2%)
Jeff Kirsher               106 (0.2%)
Antti Palosaari            104 (0.2%)
Bruce Allan                104 (0.2%)
Kukjin Kim                 103 (0.2%)
Ian Campbell               103 (0.2%)
David Herrmann             103 (0.2%)
H. Peter Anvin             100 (0.2%)
Wolfram Sang               100 (0.2%)
Michael Hennerich          100 (0.2%)
Tixy                       100 (0.2%)
Matthew Wilcox             100 (0.2%)
Grant Likely                99 (0.2%)
Paul Bolle                  99 (0.2%)
Leonid V. Fedorenchik       99 (0.2%)
Benoit Cousson              97 (0.2%)
Greg Kroah-Hartman          95 (0.2%)
Chris Metcalf               95 (0.2%)
Ohad Ben-Cohen              94 (0.2%)
matt mooney                 94 (0.2%)
Oleg Nesterov               94 (0.2%)
Nicolas Ferre               92 (0.2%)
Bjorn Helgaas               91 (0.2%)
Keith Packard               90 (0.2%)
Alan Stern                  90 (0.2%)
Yinghai Lu                  90 (0.2%)
Uwe Kleine-König           90 (0.2%)
Wu Fengguang                90 (0.2%)
Arik Nemtsov                90 (0.2%)
Paul Mundt                  88 (0.2%)
Hugh Dickins                88 (0.2%)
Andrei Emeltchenko          87 (0.2%)
Jussi Kivilinna             86 (0.2%)
Viresh Kumar                86 (0.2%)
Jeremy Fitzhardinge         85 (0.2%)
Tomoya MORINAGA             85 (0.2%)
Thomas Meyer                85 (0.2%)
Jiri Pirko                  84 (0.2%)
Tony Lindgren               84 (0.2%)
Heiko Carstens              83 (0.2%)
Timur Tabi                  82 (0.1%)
John Stultz                 82 (0.1%)
Theodore Ts'o               82 (0.1%)
Greg KH                     81 (0.1%)
Dave Martin                 81 (0.1%)
Hans de Goede               80 (0.1%)
Danny Kukawka               80 (0.1%)
Sarah Sharp                 78 (0.1%)
Xiao Guangrong              78 (0.1%)
Luciano Coelho              77 (0.1%)
Sascha Hauer                77 (0.1%)
Michael Witten              77 (0.1%)
Stephen Rothwell            76 (0.1%)
Heiko Stuebner              76 (0.1%)
Jean-François Moine        76 (0.1%)
Brian Norris                76 (0.1%)
Yaniv Rosner                76 (0.1%)
Jan Kara                    75 (0.1%)
Francois Romieu             75 (0.1%)
Manuel Lauss                74 (0.1%)
Dmitry Torokhov             73 (0.1%)
Eric W. Biederman           73 (0.1%)
Jouni Malinen               73 (0.1%)
Luis R. Rodriguez           73 (0.1%)
Jan Beulich                 72 (0.1%)
Steven Whitehouse           72 (0.1%)
Alex Elder                  72 (0.1%)
Eric Paris                  71 (0.1%)
Dmitry Kravkov              71 (0.1%)
Chris Wilson                70 (0.1%)
Kumar Gala                  70 (0.1%)
Gabor Juhos                 69 (0.1%)
Martin Schwidefsky          69 (0.1%)
Archit Taneja               69 (0.1%)
Ralf Baechle                68 (0.1%)
Chris Mason                 68 (0.1%)
Helmut Schaa                68 (0.1%)
Jarod Wilson                67 (0.1%)
Johan Hovold                67 (0.1%)
Takuya Yoshikawa            67 (0.1%)
Amitkumar Karwar            67 (0.1%)
Roland Dreier               66 (0.1%)
Li Zefan                    66 (0.1%)
James Smart                 66 (0.1%)
H Hartley Sweeten           65 (0.1%)
Bhanu Prakash Gollapudi     65 (0.1%)
Malcolm Priestley           64 (0.1%)
Andrew Morton               63 (0.1%)
Arnd Bergmann               63 (0.1%)
Thomas Abraham              63 (0.1%)
Samuel Ortiz                63 (0.1%)
Florian Fainelli            63 (0.1%)
Marc Zyngier                63 (0.1%)
Jiri Olsa                   63 (0.1%)
Dave Chinner                62 (0.1%)
Boaz Harrosh                62 (0.1%)
Olof Johansson              62 (0.1%)
Michal Simek                62 (0.1%)
Paul Walmsley               62 (0.1%)
