(None)                    7258 (13.2%)
Red Hat                   5191 (9.4%)
Intel                     4398 (8.0%)
(Unknown)                 2644 (4.8%)
Novell                    2048 (3.7%)
IBM                       1873 (3.4%)
Texas Instruments         1861 (3.4%)
Broadcom                  1530 (2.8%)
(Consultant)              1167 (2.1%)
Wolfson Microelectronics  1068 (1.9%)
Samsung                    980 (1.8%)
Google                     922 (1.7%)
Oracle                     874 (1.6%)
Freescale                  783 (1.4%)
MiTAC                      723 (1.3%)
Qualcomm                   707 (1.3%)
Microsoft                  682 (1.2%)
Linaro                     620 (1.1%)
Nokia                      610 (1.1%)
AMD                        580 (1.1%)
Wind River                 569 (1.0%)
(Academia)                 480 (0.9%)
Fujitsu                    448 (0.8%)
ST Ericsson                441 (0.8%)
University of Cambridge    397 (0.7%)
Wizery Ltd.                369 (0.7%)
Marvell                    369 (0.7%)
Renesas Electronics        364 (0.7%)
NVidia                     344 (0.6%)
QLogic                     336 (0.6%)
Parallels                  331 (0.6%)
Societe Francaise de Radiotelephone  323 (0.6%)
Analog Devices             299 (0.5%)
ARM                        296 (0.5%)
Pengutronix                295 (0.5%)
NetApp                     269 (0.5%)
Linux Foundation           266 (0.5%)
Atheros Communications     259 (0.5%)
Ericsson                   238 (0.4%)
New Dream Network          213 (0.4%)
Citrix                     210 (0.4%)
Code Aurora Forum          208 (0.4%)
Cisco                      206 (0.4%)
Canonical                  198 (0.4%)
Emulex                     192 (0.3%)
ST Microelectronics        180 (0.3%)
OpenSource AB              166 (0.3%)
ProFUSION                  163 (0.3%)
McAfee                     157 (0.3%)
NTT                        156 (0.3%)
linutronix                 141 (0.3%)
Solarflare Communications  140 (0.3%)
picoChip Designs           140 (0.3%)
Mellanox                   136 (0.2%)
Atmel                      129 (0.2%)
Vyatta                     128 (0.2%)
OpenBOSSA                  126 (0.2%)
Rising Tide Systems        125 (0.2%)
HP                         118 (0.2%)
tglx PITA                  117 (0.2%)
VMWare                     112 (0.2%)
Brocade                    110 (0.2%)
Calxeda                    110 (0.2%)
Secretlab                  103 (0.2%)
Tilera                      96 (0.2%)
Renesas Technology          88 (0.2%)
cozybit                     87 (0.2%)
Panasas                     87 (0.2%)
Sun                         84 (0.2%)
Atomide                     84 (0.2%)
LSI Logic                   80 (0.1%)
KernelLabs Inc              77 (0.1%)
Taobao                      77 (0.1%)
Arista Networks             74 (0.1%)
OLPC                        73 (0.1%)
Pure Storage                71 (0.1%)
INRIA                       70 (0.1%)
PetaLogix                   66 (0.1%)
Green Turtles Technologies   65 (0.1%)
Vision Engraving Systems    65 (0.1%)
Hitachi                     63 (0.1%)
Realsil Microelectronics    61 (0.1%)
OMICRON Electronics         60 (0.1%)
Tieto                       57 (0.1%)
Etersoft                    55 (0.1%)
DENX Software Engineering   55 (0.1%)
MontaVista                  54 (0.1%)
Miracle Linux               52 (0.1%)
SGI                         51 (0.1%)
secunet                     50 (0.1%)
AudioScience Inc.           49 (0.1%)
Vista-Silicon S.L.          48 (0.1%)
University of Sevilla       46 (0.1%)
Gaisler Research            44 (0.1%)
Oki Semiconductor           43 (0.1%)
Cavium                      43 (0.1%)
STRATO AG                   43 (0.1%)
CompuLab                    42 (0.1%)
CSR                         39 (0.1%)
Acision                     39 (0.1%)
Candela Technologies        38 (0.1%)
PHILOSYS Software           37 (0.1%)
KFKI Research Institute     36 (0.1%)
South Pole AB               35 (0.1%)
Siemens                     34 (0.1%)
Igalia S.L.                 34 (0.1%)
LWN.net                     34 (0.1%)
EfficiOS                    32 (0.1%)
NEC                         32 (0.1%)
NetLogic Microsystems       31 (0.1%)
Avionic Design Development GmbH   30 (0.1%)
Realtek                     28 (0.1%)
VA Linux Systems Japan      28 (0.1%)
VIA                         26 (0.0%)
Ka-Ro electronics GmbH      25 (0.0%)
Integrated Device Technology   24 (0.0%)
Alcatel-Lucent              24 (0.0%)
Fusion-IO                   23 (0.0%)
SYS TEC electronic GmbH     23 (0.0%)
Institute for System Programming Russian Academy of Sciences   23 (0.0%)
XenSource                   23 (0.0%)
KPIT Cummins                22 (0.0%)
ELAN Microelectronics Corp.   22 (0.0%)
Fon                         22 (0.0%)
Openwall                    21 (0.0%)
Slimlogic Ltd               21 (0.0%)
Barco                       21 (0.0%)
Eleven Musicproduction      20 (0.0%)
Motorola                    20 (0.0%)
Boeing                      19 (0.0%)
US National Security Agency   19 (0.0%)
LINBIT                      19 (0.0%)
Open Grid Computing         19 (0.0%)
Nicira Networks             18 (0.0%)
Crash Barrier               18 (0.0%)
