(None)                    7386 (12.1%)
Red Hat                   5695 (9.4%)
Intel                     5428 (8.9%)
Linaro                    3251 (5.3%)
Texas Instruments         2549 (4.2%)
Samsung                   2099 (3.5%)
IBM                       2039 (3.4%)
(Unknown)                 1974 (3.2%)
Novell                    1966 (3.2%)
Vision Engraving Systems  1827 (3.0%)
Google                    1515 (2.5%)
Renesas Electronics        946 (1.6%)
Broadcom                   786 (1.3%)
Oracle                     766 (1.3%)
Freescale                  760 (1.2%)
NVidia                     741 (1.2%)
(Consultant)               719 (1.2%)
AMD                        679 (1.1%)
Cisco                      665 (1.1%)
LINBIT                     633 (1.0%)
Wolfson Microelectronics   619 (1.0%)
Fujitsu                    578 (1.0%)
ARM                        564 (0.9%)
Inktank Storage            560 (0.9%)
Trend Micro                551 (0.9%)
Free Electrons             497 (0.8%)
(Academia)                 471 (0.8%)
Canonical                  404 (0.7%)
Ingics Technology          385 (0.6%)
Pengutronix                373 (0.6%)
Huawei Technologies        365 (0.6%)
QLogic                     364 (0.6%)
Qualcomm                   357 (0.6%)
Linux Foundation           356 (0.6%)
NetApp                     353 (0.6%)
Marvell                    353 (0.6%)
Wind River                 343 (0.6%)
Parallels                  333 (0.5%)
LG Electronics             329 (0.5%)
Arista Networks            308 (0.5%)
MEV Limited                301 (0.5%)
Nokia                      284 (0.5%)
Emulex                     236 (0.4%)
FOSS Outreach Program for Women  234 (0.4%)
HP                         230 (0.4%)
Ericsson                   222 (0.4%)
ST Ericsson                221 (0.4%)
Fusion-IO                  215 (0.4%)
Imagination Technologies   212 (0.3%)
ST Microelectronics        202 (0.3%)
Mellanox                   196 (0.3%)
Synopsys                   193 (0.3%)
Code Aurora Forum          191 (0.3%)
Citrix                     172 (0.3%)
Huawei                     159 (0.3%)
Atmel                      146 (0.2%)
Calxeda                    145 (0.2%)
Avionic Design Development GmbH  143 (0.2%)
Brocade                    143 (0.2%)
linutronix                 143 (0.2%)
DENX Software Engineering  141 (0.2%)
Atomide                    141 (0.2%)
Sun                        136 (0.2%)
tglx PITA                  125 (0.2%)
Microsoft                  119 (0.2%)
University of Cambridge    116 (0.2%)
Xilinx                     113 (0.2%)
Wizery Ltd.                113 (0.2%)
INRIA                      111 (0.2%)
Solarflare Communications  110 (0.2%)
Asianux Consortium         110 (0.2%)
OpenSource AB              102 (0.2%)
Rising Tide Systems         98 (0.2%)
Miracle Linux               91 (0.1%)
Tieto                       90 (0.1%)
Taobao                      87 (0.1%)
Fon                         86 (0.1%)
Nicira Networks             83 (0.1%)
Cogent Embedded             83 (0.1%)
Microtrol S.R.L.            77 (0.1%)
Etersoft                    76 (0.1%)
6WIND                       76 (0.1%)
Cavium                      72 (0.1%)
McAfee                      72 (0.1%)
Chelsio                     69 (0.1%)
cozybit                     67 (0.1%)
SGI                         63 (0.1%)
CSR                         59 (0.1%)
Institute for System Programming Russian Academy of Sciences   59 (0.1%)
Coraid                      58 (0.1%)
Astaro                      58 (0.1%)
NTT                         57 (0.1%)
Hitachi                     57 (0.1%)
VMWare                      56 (0.1%)
PHILOSYS Software           56 (0.1%)
Collabora Multimedia        55 (0.1%)
Pure Storage                55 (0.1%)
LSI Logic                   55 (0.1%)
STRATO AG                   54 (0.1%)
Analog Devices              53 (0.1%)
University of Sevilla       52 (0.1%)
INdT                        49 (0.1%)
Igalia S.L.                 49 (0.1%)
Adeneo                      43 (0.1%)
Siemens                     42 (0.1%)
Vista-Silicon S.L.          39 (0.1%)
Vyatta                      38 (0.1%)
Shawell Technology          37 (0.1%)
Gaisler Research            36 (0.1%)
Realtek                     35 (0.1%)
VA Linux Systems Japan      35 (0.1%)
Animal Creek Technologies   34 (0.1%)
MIPS Technologies           33 (0.1%)
TriplePoint                 33 (0.1%)
OMICRON Electronics         31 (0.1%)
OLPC                        30 (0.0%)
Tilera                      30 (0.0%)
KFKI Research Institute     29 (0.0%)
NEC                         29 (0.0%)
Integrated Device Technology   28 (0.0%)
Chine ahead technology      28 (0.0%)
Eleven Musicproduction      27 (0.0%)
National Instruments        27 (0.0%)
Telit Communications        26 (0.0%)
Cloudius Systems            26 (0.0%)
Freebox                     25 (0.0%)
Secretlab                   25 (0.0%)
Katalix Systems             24 (0.0%)
MontaVista                  24 (0.0%)
Realsil Microelectronics    23 (0.0%)
AMA Capital Management      23 (0.0%)
Alcatel-Lucent              23 (0.0%)
Open Mesh                   23 (0.0%)
emlix GmbH                  23 (0.0%)
Nebula                      21 (0.0%)
Mentor Graphics             21 (0.0%)
secunet                     20 (0.0%)
Candela Technologies        20 (0.0%)
PetaLogix                   20 (0.0%)
Tensilica                   20 (0.0%)
Armadeus Systems            20 (0.0%)
Synapse Product Development   19 (0.0%)
Kyma Systems                19 (0.0%)
OpenBOSSA                   19 (0.0%)
Keymile AG                  19 (0.0%)
Matrox Graphics             19 (0.0%)
igel                        19 (0.0%)
BMW                         18 (0.0%)
Tk Open Systems             18 (0.0%)
Hitachi Data Systems        18 (0.0%)
Signal 11 Software          18 (0.0%)
Creative Technology         18 (0.0%)
Ka-Ro electronics GmbH      18 (0.0%)
CompuLab                    17 (0.0%)
Altera                      17 (0.0%)
Micron                      17 (0.0%)
PMC-Sierra                  16 (0.0%)
Parrot SA                   16 (0.0%)
Wacom                       16 (0.0%)
Abilis Systems              15 (0.0%)
AbsoluteValue Systems       15 (0.0%)
Bull SAS                    15 (0.0%)
Savoir-faire Linux          14 (0.0%)
LaCie                       14 (0.0%)
RivieraWaves                14 (0.0%)
Obsidian Research           14 (0.0%)
New Dream Network           14 (0.0%)
KPIT Cummins                14 (0.0%)
Marine Bridge & Navigation Systems   13 (0.0%)
StreamUnlimited             13 (0.0%)
Amarula Solutions           13 (0.0%)
Alereon                     13 (0.0%)
Overkiz                     13 (0.0%)
Slimlogic Ltd               12 (0.0%)
South Pole AB               12 (0.0%)
Posedge Technologies        12 (0.0%)
Yext                        12 (0.0%)
Academics                   11 (0.0%)
CS Systèmes d'information   11 (0.0%)
Tecent                      11 (0.0%)
NetUP                       10 (0.0%)
Telekom Malaysia            10 (0.0%)
Neratec Solutions           10 (0.0%)
Commtech Inc.               10 (0.0%)
Deka Research and Development   10 (0.0%)
Acision                     10 (0.0%)
Ixia                         9 (0.0%)
Daruma                       9 (0.0%)
TQ Systems                   9 (0.0%)
Volkswagen                   9 (0.0%)
Macq Electronique            9 (0.0%)
Cypress Semiconductor        9 (0.0%)
Ravello Systems              9 (0.0%)
Bosch                        9 (0.0%)
Eukrea Electromatique        8 (0.0%)
Lemonage Software            8 (0.0%)
Datera Inc.                  8 (0.0%)
Open Nandra                  8 (0.0%)
Telegent System              8 (0.0%)
Parkeon                      8 (0.0%)
Cavium Networks              8 (0.0%)
Intra2net AG                 7 (0.0%)
Societe Francaise de Radiotelephone    7 (0.0%)
MIT Lincoln Laboratory       7 (0.0%)
APM                          7 (0.0%)
Ozmo Devices                 7 (0.0%)
Motorola                     6 (0.0%)
Cirrus Logic                 6 (0.0%)
ProFUSION                    6 (0.0%)
SYS TEC electronic GmbH      6 (0.0%)
Sirius Electronic Systems    6 (0.0%)
JiangSu Lemote Corp.         6 (0.0%)
Numascale Asia               6 (0.0%)
Oc� Technologies             6 (0.0%)
Atheros Communications       6 (0.0%)
Exosec                       6 (0.0%)
GNU                          6 (0.0%)
NetLogic Microsystems        6 (0.0%)
Bluecherry LLC               6 (0.0%)
Genesi USA Inc.              6 (0.0%)
Nokia Siemens Networks       6 (0.0%)
Sonatest Limited             5 (0.0%)
SmartJog S.A.S.              5 (0.0%)
Traverse Technologies        5 (0.0%)
Open Wide Group              5 (0.0%)
Digi International           5 (0.0%)
Myricom                      5 (0.0%)
Axis Communications          5 (0.0%)
Cablon                       5 (0.0%)
Matrix Vision                5 (0.0%)
WindRiver                    5 (0.0%)
