3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Al Viro                    761 (1.3%)
Mark Brown                 752 (1.3%)
Axel Lin                   587 (1.0%)
Johannes Berg              583 (1.0%)
Daniel Vetter              547 (1.0%)
Takashi Iwai               536 (0.9%)
Greg Kroah-Hartman         522 (0.9%)
Sachin Kamat               463 (0.8%)
Tejun Heo                  431 (0.7%)

Hans Verkuil               404 (0.7%)
David S. Miller            400 (0.7%)
Bill Pemberton             395 (0.7%)
Eric W. Biederman          378 (0.7%)
Mauro Carvalho Chehab      356 (0.6%)
Lars-Peter Clausen         354 (0.6%)
Alex Elder                 342 (0.6%)
Eric Dumazet               333 (0.6%)
Wei Yongjun                330 (0.6%)
Dan Carpenter              328 (0.6%)
Ben Skeggs                 326 (0.6%)
Ian Abbott                 321 (0.6%)
Stephen Warren             320 (0.6%)
Shawn Guo                  316 (0.5%)
Trond Myklebust            292 (0.5%)
Laurent Pinchart           292 (0.5%)
Antti Palosaari            288 (0.5%)
Lee Jones                  278 (0.5%)
Rafael J. Wysocki          271 (0.5%)
Philipp Reisner            270 (0.5%)
Linus Walleij              263 (0.5%)
Kevin McKinney             255 (0.4%)
Arnaldo Carvalho de Melo   254 (0.4%)
Arnd Bergmann              247 (0.4%)
Namhyung Kim               245 (0.4%)
Kees Cook                  244 (0.4%)
Kuninori Morimoto          238 (0.4%)
Peter Ujfalusi             232 (0.4%)
Fabio Estevam              232 (0.4%)
Chris Wilson               232 (0.4%)
Devendra Naga              230 (0.4%)
Guenter Roeck              229 (0.4%)
Jingoo Han                 228 (0.4%)
David Howells              219 (0.4%)
Alex Deucher               214 (0.4%)
Andreas Gruenbacher        211 (0.4%)
Tomi Valkeinen             207 (0.4%)
Jiri Slaby                 205 (0.4%)
Toshiaki Yamane            202 (0.4%)
Jeff Layton                199 (0.3%)
Heiko Carstens             194 (0.3%)
Alan Cox                   192 (0.3%)
Lars Ellenberg             191 (0.3%)
Sylwester Nawrocki         188 (0.3%)
Joe Perches                188 (0.3%)
Andrei Emeltchenko         187 (0.3%)
Laxman Dewangan            185 (0.3%)
Paul Walmsley              184 (0.3%)
Paulo Zanoni               184 (0.3%)
Alexander Duyck            180 (0.3%)
Guennadi Liakhovetski      180 (0.3%)
Steven Rostedt             179 (0.3%)
Yinghai Lu                 177 (0.3%)
Julia Lawall               171 (0.3%)
Felipe Balbi               167 (0.3%)
Paul E. McKenney           164 (0.3%)
Hauke Mehrtens             164 (0.3%)
Will Deacon                161 (0.3%)
Jiri Olsa                  157 (0.3%)
Russell King               156 (0.3%)
Paul Mundt                 154 (0.3%)
Peter Senna Tschudin       154 (0.3%)
Thierry Reding             148 (0.3%)
Artem Bityutskiy           147 (0.3%)
Oleg Nesterov              147 (0.3%)
Tony Lindgren              146 (0.3%)
Johan Hovold               146 (0.3%)
Thomas Petazzoni           144 (0.3%)
Gabor Juhos                143 (0.2%)
Thomas Gleixner            140 (0.2%)
Josef Bacik                140 (0.2%)
Sebastian Andrzej Siewior  138 (0.2%)
Dave Chinner               138 (0.2%)
J. Bruce Fields            138 (0.2%)
Viresh Kumar               136 (0.2%)
Hans de Goede              134 (0.2%)
Ezequiel Garcia            133 (0.2%)
Emmanuel Grumbach          132 (0.2%)
Stanislav Kinsbursky       132 (0.2%)
Arik Nemtsov               130 (0.2%)
NeilBrown                  129 (0.2%)
Archit Taneja              129 (0.2%)
Jan Kara                   129 (0.2%)
Ben Widawsky               129 (0.2%)
Linus Torvalds             127 (0.2%)
Jiri Pirko                 126 (0.2%)
Tomas Winkler              125 (0.2%)
Peter Huewe                125 (0.2%)
Greg Ungerer               124 (0.2%)
Kim, Milo                  124 (0.2%)
Sujith Manoharan           124 (0.2%)
Roland Stigge              123 (0.2%)
Andy Shevchenko            123 (0.2%)
Ben Hutchings              122 (0.2%)
Pavel Shilovsky            122 (0.2%)
Aaro Koskinen              121 (0.2%)
H. Peter Anvin             120 (0.2%)
Rob Herring                120 (0.2%)
Bjørn Mork                119 (0.2%)
Felix Fietkau              119 (0.2%)
Arend van Spriel           117 (0.2%)
Samuel Ortiz               115 (0.2%)
Luciano Coelho             115 (0.2%)
Borislav Petkov            111 (0.2%)
Alan Stern                 108 (0.2%)
Sam Ravnborg               108 (0.2%)
Sascha Hauer               107 (0.2%)
Sven Eckelmann             107 (0.2%)
Jesper Juhl                106 (0.2%)
Miao Xie                   105 (0.2%)
Konrad Rzeszutek Wilk      105 (0.2%)
Theodore Ts'o              104 (0.2%)
Mel Gorman                 103 (0.2%)
Geert Uytterhoeven         102 (0.2%)
Andrew Lunn                102 (0.2%)
Ralf Baechle               100 (0.2%)
Paul Bolle                 100 (0.2%)
Amerigo Wang                99 (0.2%)
Jonathan Cameron            99 (0.2%)
Hante Meuleman              99 (0.2%)
Frederic Weisbecker         98 (0.2%)
YOSHIFUJI Hideaki / 吉藤英明   98 (0.2%)
Sage Weil                   97 (0.2%)
Christoph Hellwig           97 (0.2%)
Xiao Guangrong              97 (0.2%)
Rajkumar Manoharan          97 (0.2%)
Jussi Kivilinna             97 (0.2%)
James Smart                 97 (0.2%)
Vineet Gupta                97 (0.2%)
Avi Kivity                  96 (0.2%)
Liu Bo                      95 (0.2%)
John Crispin                94 (0.2%)
Florian Fainelli            94 (0.2%)
Alexander Graf              94 (0.2%)
Peter Meerwald              94 (0.2%)
Bob Moore                   92 (0.2%)
Bruce Allan                 92 (0.2%)
Alexander Shiyan            92 (0.2%)
Christian König            91 (0.2%)
Ming Lei                    91 (0.2%)
Bjorn Helgaas               91 (0.2%)
Jon Hunter                  89 (0.2%)
Antonio Quartulli           89 (0.2%)
Paul Gortmaker              88 (0.2%)
Dave Airlie                 87 (0.2%)
Michael Neuling             86 (0.1%)
Masanari Iida               86 (0.1%)
Randy Dunlap                85 (0.1%)
Joerg Roedel                85 (0.1%)
Bryan Schumaker             85 (0.1%)
Johan Hedberg               85 (0.1%)
Anton Vorontsov             84 (0.1%)
Roland Dreier               83 (0.1%)
Rafał Miłecki             83 (0.1%)
Stefan Hajnoczi             83 (0.1%)
David Daney                 82 (0.1%)
Daniel Mack                 82 (0.1%)
Maxime Ripard               82 (0.1%)
K. Y. Srinivasan            82 (0.1%)
Eliad Peller                81 (0.1%)
Thomas Abraham              81 (0.1%)
James Hogan                 81 (0.1%)
Jiang Liu                   79 (0.1%)
Sakari Ailus                79 (0.1%)
Tushar Behera               78 (0.1%)
Catalin Marinas             78 (0.1%)
Samuel Iglesias Gonsalvez   78 (0.1%)
Jean-Christophe PLAGNIOL-VILLARD   78 (0.1%)
Marek Vasut                 76 (0.1%)
Michel Lespinasse           76 (0.1%)
Hiroshi DOYU                75 (0.1%)
David Henningsson           75 (0.1%)
Ville Syrjälä             75 (0.1%)
Marek Szyprowski            74 (0.1%)
Pablo Neira Ayuso           73 (0.1%)
Dmitry Torokhov             72 (0.1%)
Marc Zyngier                72 (0.1%)
Max Filippov                72 (0.1%)
Uwe Kleine-König           71 (0.1%)
